Id,Label,timeset,d0,indegree,outdegree,Degree
Economy Of Haiti,Economy Of Haiti,,0,2,0,2
1980 Surinamese Coup D'État,1980 Surinamese Coup D'État,,0,2,0,2
62D Fighter Wing (World War Ii),62D Fighter Wing (World War Ii),,0,2,0,2
Jamanxim National Park,Jamanxim National Park,,0,2,0,2
Mbw (Identifier),Mbw (Identifier),,0,3,0,3
Federal Office For The Protection Of The Constitution,Federal Office For The Protection Of The Constitution,,0,2,0,2
"Augusto De Lima, Minas Gerais","Augusto De Lima, Minas Gerais",,0,4,0,4
Potiguara Language,Potiguara Language,,0,4,0,4
Iso 13406-2,Iso 13406-2,,0,2,0,2
Battle Of Carpi (1815),Battle Of Carpi (1815),,0,2,0,2
Brazilian Police Militias,Brazilian Police Militias,,0,4,0,4
Central Europe,Central Europe,,0,6,0,6
Police Of Guinea,Police Of Guinea,,0,2,0,2
Age Of Revolution,Age Of Revolution,,0,3,0,3
Catholic Church In Cape Verde,Catholic Church In Cape Verde,,0,2,0,2
Kalunga,Kalunga,,0,22,0,22
Afro-Brazilian,Afro-Brazilian,,0,102,367,469
Governador Luiz Rocha,Governador Luiz Rocha,,0,3,0,3
Hashemite,Hashemite,,0,2,0,2
"Itapeva, São Paulo","Itapeva, São Paulo",,0,3,0,3
Brejo Dos Santos,Brejo Dos Santos,,0,2,0,2
Aero Bravo,Aero Bravo,,0,2,0,2
1992 Venezuelan Coup D'État Attempts,1992 Venezuelan Coup D'État Attempts,,0,2,0,2
Malwee,Malwee,,0,2,0,2
Apolônio Melônio,Apolônio Melônio,,0,16,0,16
Castro Alves,Castro Alves,,0,23,0,23
"Chaves, Pará","Chaves, Pará",,0,4,0,4
Wagner Tiso,Wagner Tiso,,0,2,0,2
West Zone State University,West Zone State University,,0,3,0,3
Aché Language,Aché Language,,0,4,0,4
Ibiaçá,Ibiaçá,,0,3,0,3
Pea Soup,Pea Soup,,0,2,0,2
Iso 10303-22,Iso 10303-22,,0,2,0,2
Frequency Modulation,Frequency Modulation,,0,2,0,2
Blind People,Blind People,,0,2,0,2
Capture Of The Veloz Passagera,Capture Of The Veloz Passagera,,0,2,0,2
"Consolação, Minas Gerais","Consolação, Minas Gerais",,0,4,0,4
Sao Paulo,Sao Paulo,,0,3,0,3
Lisboa Region,Lisboa Region,,0,2,0,2
Peri Mirim,Peri Mirim,,0,3,0,3
Portuguese People,Portuguese People,,0,47,0,47
Celine Imbert,Celine Imbert,,0,16,0,16
Santana Do Deserto,Santana Do Deserto,,0,4,0,4
Candido Portinari,Candido Portinari,,0,24,847,871
Inaturalist,Inaturalist,,0,3,0,3
Norwegians,Norwegians,,0,2,0,2
Reelection,Reelection,,0,2,0,2
"Romero ""Jacare"" Cavalcanti","Romero ""Jacare"" Cavalcanti",,0,2,0,2
Primary School,Primary School,,0,5,0,5
Planalto Military Command,Planalto Military Command,,0,11,0,11
Mantua,Mantua,,0,3,0,3
Gandu,Gandu,,0,4,0,4
Mascate War,Mascate War,,0,22,0,22
Voiced,Voiced,,0,2,0,2
Battle Of Quilmes,Battle Of Quilmes,,0,2,0,2
Foreign Debt,Foreign Debt,,0,5,0,5
Culture Of Brazil,Culture Of Brazil,,0,180,506,686
Beloved (Novel),Beloved (Novel),,0,2,0,2
Suffrajitsu,Suffrajitsu,,0,4,0,4
Donald Trump,Donald Trump,,0,8,0,8
Santa Branca,Santa Branca,,0,2,0,2
João Almino,João Almino,,0,16,0,16
Surfer,Surfer,,0,3,0,3
Santiago Metro,Santiago Metro,,0,2,0,2
Progressive Republican Party (Brazil),Progressive Republican Party (Brazil),,0,12,0,12
Quebec Winter Carnival,Quebec Winter Carnival,,0,2,0,2
Gofredo Teixeira Da Silva Teles,Gofredo Teixeira Da Silva Teles,,0,3,0,3
Rio De Janeiro (State),Rio De Janeiro (State),,0,171,380,551
"Santa Luzia, Bahia","Santa Luzia, Bahia",,0,4,0,4
Bagel,Bagel,,0,2,0,2
Iguazu Falls,Iguazu Falls,,0,14,51,65
"Church Of São Francisco De Assis, Ouro Preto","Church Of São Francisco De Assis, Ouro Preto",,0,4,0,4
Sex Trafficking In Europe,Sex Trafficking In Europe,,0,4,0,4
Buenos Aires Underground,Buenos Aires Underground,,0,2,0,2
Religion In The United Kingdom,Religion In The United Kingdom,,0,2,0,2
Crayfish As Food,Crayfish As Food,,0,2,0,2
Conceição De Ipanema,Conceição De Ipanema,,0,4,0,4
Gaetano Donizetti,Gaetano Donizetti,,0,5,0,5
Dirce Reis,Dirce Reis,,0,2,0,2
Itatinga Tram,Itatinga Tram,,0,8,0,8
Ethnology,Ethnology,,0,2,0,2
Kingdom Of Naples,Kingdom Of Naples,,0,3,0,3
Pea,Pea,,0,3,0,3
Parliament Of Jordan,Parliament Of Jordan,,0,3,0,3
Pan-Amazonian Ecclesial Network,Pan-Amazonian Ecclesial Network,,0,2,0,2
Paris Agreement,Paris Agreement,,0,6,0,6
Kelantan Rebellion,Kelantan Rebellion,,0,2,0,2
Rede Aparecida,Rede Aparecida,,0,2,0,2
Flute,Flute,,0,2,0,2
Universal Basic Income,Universal Basic Income,,0,2,0,2
Itanhém,Itanhém,,0,4,0,4
Siege Of Valencia (1812),Siege Of Valencia (1812),,0,2,0,2
Hannette Staack,Hannette Staack,,0,2,0,2
Northern Mariana Islands Commonwealth Legislature,Northern Mariana Islands Commonwealth Legislature,,0,2,0,2
Ostsiedlung,Ostsiedlung,,0,2,0,2
Alto Feliz,Alto Feliz,,0,3,0,3
2010–2014 Portuguese Financial Crisis,2010–2014 Portuguese Financial Crisis,,0,3,0,3
Roman Catholic Diocese Of Nossa Senhora Do Líbano Em São Paulo,Roman Catholic Diocese Of Nossa Senhora Do Líbano Em São Paulo,,0,2,0,2
Anita Malfatti,Anita Malfatti,,0,13,21,34
February Revolution,February Revolution,,0,2,0,2
Slavery Among The Indigenous Peoples Of The Americas,Slavery Among The Indigenous Peoples Of The Americas,,0,4,0,4
German People,German People,,0,3,0,3
Catholic Encyclopedia,Catholic Encyclopedia,,0,2,0,2
Scientific Literature,Scientific Literature,,0,2,0,2
Close Vowel,Close Vowel,,0,5,0,5
Nilópolis,Nilópolis,,0,8,0,8
Oriovisto Guimarães,Oriovisto Guimarães,,0,5,0,5
Switzerland During The World Wars,Switzerland During The World Wars,,0,3,0,3
Brazil–Romania Relations,Brazil–Romania Relations,,0,6,0,6
Horse Racing,Horse Racing,,0,4,0,4
Shanghai,Shanghai,,0,6,0,6
Embraer Emb 314 Super Tucano,Embraer Emb 314 Super Tucano,,0,2,0,2
Punk Rock,Punk Rock,,0,2,0,2
Pakistani Literature,Pakistani Literature,,0,2,0,2
24Th Legislature Of The National Congress,24Th Legislature Of The National Congress,,0,6,0,6
People'S Park (São Paulo),People'S Park (São Paulo),,0,5,0,5
João Paulo Cunha,João Paulo Cunha,,0,3,0,3
Coburg,Coburg,,0,3,0,3
Aguinaldo Ribeiro,Aguinaldo Ribeiro,,0,5,0,5
Everaldo Pereira,Everaldo Pereira,,0,2,0,2
Winter Olympic Games,Winter Olympic Games,,0,2,0,2
Australian Antarctic Territory,Australian Antarctic Territory,,0,2,0,2
René Arnoux,René Arnoux,,0,2,0,2
Ingrid Guimarães,Ingrid Guimarães,,0,2,0,2
"Fátima, Bahia","Fátima, Bahia",,0,4,0,4
Oswaldo Cruz,Oswaldo Cruz,,0,18,0,18
Brazilian Imperial Family,Brazilian Imperial Family,,0,28,94,122
Olga Praguer Coelho,Olga Praguer Coelho,,0,16,0,16
Tepache,Tepache,,0,2,0,2
Maronite Church,Maronite Church,,0,2,0,2
Caculé,Caculé,,0,4,0,4
Konstantin Mihailović,Konstantin Mihailović,,0,2,0,2
Atlantic U-Boat Campaign Of World War I,Atlantic U-Boat Campaign Of World War I,,0,2,0,2
Isaw,Isaw,,0,2,0,2
Moreilândia,Moreilândia,,0,2,0,2
"Arara, Paraíba","Arara, Paraíba",,0,2,0,2
Peach,Peach,,0,7,0,7
Balance Of Trade,Balance Of Trade,,0,2,0,2
Catholic Church In Norway,Catholic Church In Norway,,0,2,0,2
Castúo,Castúo,,0,2,0,2
Porto De Moz,Porto De Moz,,0,4,0,4
Purtumute,Purtumute,,0,2,0,2
Cuban Missile Crisis,Cuban Missile Crisis,,0,2,0,2
Norway,Norway,,0,9,0,9
Goiabada,Goiabada,,0,9,7,16
National Olympic Committee,National Olympic Committee,,0,2,0,2
"Itaporanga, São Paulo","Itaporanga, São Paulo",,0,2,0,2
Religion In Cape Verde,Religion In Cape Verde,,0,3,0,3
Species Richness,Species Richness,,0,3,0,3
Saint Barthélemy,Saint Barthélemy,,0,2,0,2
European Debt Crisis,European Debt Crisis,,0,3,0,3
"Oliveira, Minas Gerais","Oliveira, Minas Gerais",,0,5,0,5
National Police Agency (Taiwan),National Police Agency (Taiwan),,0,2,0,2
Machado River,Machado River,,0,2,0,2
Panic Of 1857,Panic Of 1857,,0,3,0,3
Taciba,Taciba,,0,2,0,2
Chairperson Of The Organisation Of African Unity,Chairperson Of The Organisation Of African Unity,,0,2,0,2
Mary Prince,Mary Prince,,0,2,0,2
Brazilian Military Dictatorship,Brazilian Military Dictatorship,,0,26,0,26
Potiguara People,Potiguara People,,0,4,0,4
Brazilian Frigate Liberal (F-43),Brazilian Frigate Liberal (F-43),,0,5,11,16
Milton Monti,Milton Monti,,0,8,0,8
Gukhwappang,Gukhwappang,,0,2,0,2
Sergio Kobayashi,Sergio Kobayashi,,0,16,0,16
Audi Brasil Distribuidora De Veículos,Audi Brasil Distribuidora De Veículos,,0,2,0,2
Altino Arantes Building,Altino Arantes Building,,0,6,0,6
55Th Legislature Of The National Congress,55Th Legislature Of The National Congress,,0,6,0,6
1956 Honduran Coup D'État,1956 Honduran Coup D'État,,0,2,0,2
Arara (Rondônia),Arara (Rondônia),,0,3,0,3
Crime,Crime,,0,3,0,3
Giuseppe Verdi,Giuseppe Verdi,,0,6,0,6
Orleanais Dialect,Orleanais Dialect,,0,2,0,2
Japan Space Systems,Japan Space Systems,,0,2,0,2
Tamale,Tamale,,0,5,0,5
Unemployment In Brazil,Unemployment In Brazil,,0,167,92,259
Sabrina Sato,Sabrina Sato,,0,3,0,3
"Jatobá, Maranhão","Jatobá, Maranhão",,0,3,0,3
James Brooke,James Brooke,,0,2,0,2
Horn Of Africa,Horn Of Africa,,0,3,0,3
Kaingang Language,Kaingang Language,,0,9,0,9
Pajeú Do Piauí,Pajeú Do Piauí,,0,2,0,2
Golf In Brazil,Golf In Brazil,,0,2,0,2
Kazakhstan,Kazakhstan,,0,5,0,5
Health In Paraguay,Health In Paraguay,,0,2,0,2
Guimarães Rosa,Guimarães Rosa,,0,21,0,21
Swedish Language,Swedish Language,,0,2,0,2
Orlando Miranda,Orlando Miranda,,0,16,0,16
Mato Leitão,Mato Leitão,,0,4,0,4
Treaty Of Chaumont,Treaty Of Chaumont,,0,2,0,2
Cândido Mota,Cândido Mota,,0,2,0,2
Italian Parliament,Italian Parliament,,0,2,0,2
Oldest Synagogues In The World,Oldest Synagogues In The World,,0,3,0,3
Religion In Tanzania,Religion In Tanzania,,0,2,0,2
Bbc News Online,Bbc News Online,,0,2,0,2
Manacapuru,Manacapuru,,0,3,0,3
Military Branch,Military Branch,,0,2,0,2
1967 Pan American Games,1967 Pan American Games,,0,3,0,3
Raisin,Raisin,,0,2,0,2
Electricity Sector In Brazil,Electricity Sector In Brazil,,0,27,0,27
Religion In Gabon,Religion In Gabon,,0,2,0,2
Iso 898,Iso 898,,0,2,0,2
"Miguel Pereira, Río De Janeiro","Miguel Pereira, Río De Janeiro",,0,2,0,2
Kingdom Of Corsica (1736),Kingdom Of Corsica (1736),,0,2,0,2
Vítor Ribeiro,Vítor Ribeiro,,0,2,0,2
Tupi–Guarani Languages,Tupi–Guarani Languages,,0,11,0,11
Spanish Transition To Democracy,Spanish Transition To Democracy,,0,2,0,2
Brazil–Cape Verde Relations,Brazil–Cape Verde Relations,,0,6,0,6
Chromium,Chromium,,0,2,0,2
Polish Culture,Polish Culture,,0,2,0,2
Copa Do Brasil,Copa Do Brasil,,0,6,0,6
Religion In China,Religion In China,,0,2,0,2
Tübi̇tak Space Technologies Research Institute,Tübi̇tak Space Technologies Research Institute,,0,2,0,2
Veneto,Veneto,,0,16,0,16
1972 Summer Olympics,1972 Summer Olympics,,0,2,0,2
Immediate Geographic Region Of Viçosa,Immediate Geographic Region Of Viçosa,,0,4,0,4
Rapid,Rapid,,0,2,0,2
Emílio Garrastazu Médici,Emílio Garrastazu Médici,,0,24,0,24
Rio De Janeiro State University,Rio De Janeiro State University,,0,5,0,5
"Francisco Adolfo De Varnhagen, Viscount Of Porto Seguro","Francisco Adolfo De Varnhagen, Viscount Of Porto Seguro",,0,15,0,15
Dohyō,Dohyō,,0,2,0,2
Balneário Gaivota,Balneário Gaivota,,0,2,0,2
Vazante,Vazante,,0,4,0,4
North Germanic Languages,North Germanic Languages,,0,2,0,2
Prestige (Sociolinguistics),Prestige (Sociolinguistics),,0,2,0,2
Politics Of Antigua And Barbuda,Politics Of Antigua And Barbuda,,0,2,0,2
Pan American Games,Pan American Games,,0,8,0,8
Dutch Surinamese,Dutch Surinamese,,0,2,0,2
Peasant Leagues,Peasant Leagues,,0,2,0,2
Sul Fluminense,Sul Fluminense,,0,2,0,2
Brasil Novo,Brasil Novo,,0,4,0,4
Macaparana,Macaparana,,0,2,0,2
Balkans,Balkans,,0,3,0,3
Jewish Political Movements,Jewish Political Movements,,0,2,0,2
Sulai,Sulai,,0,2,0,2
Hermano Vianna,Hermano Vianna,,0,16,0,16
Carimbó,Carimbó,,0,3,0,3
"São João, Pernambuco","São João, Pernambuco",,0,2,0,2
Scramble For Africa,Scramble For Africa,,0,4,0,4
1971 Pan American Games,1971 Pan American Games,,0,3,0,3
Clube Do Choro De Brasília,Clube Do Choro De Brasília,,0,16,0,16
Dejima,Dejima,,0,2,0,2
"Santo Antão, Cape Verde","Santo Antão, Cape Verde",,0,2,0,2
Parliament Of France,Parliament Of France,,0,2,0,2
Persecution Of Jews,Persecution Of Jews,,0,2,0,2
Stara S.A.,Stara S.A.,,0,2,0,2
Antarctic,Antarctic,,0,4,0,4
2017 Formula One World Championship,2017 Formula One World Championship,,0,2,0,2
Glossary Of Brazil Investigative Terms,Glossary Of Brazil Investigative Terms,,0,8,0,8
Vietnamese Cuisine,Vietnamese Cuisine,,0,3,0,3
Thiago Pereira,Thiago Pereira,,0,2,0,2
Lafaiete Coutinho,Lafaiete Coutinho,,0,4,0,4
Dafra Motos,Dafra Motos,,0,2,0,2
Art Nouveau,Art Nouveau,,0,3,0,3
Federal University Of Cariri,Federal University Of Cariri,,0,3,0,3
Artillery,Artillery,,0,4,0,4
São Paulo-Guarulhos International Airport,São Paulo-Guarulhos International Airport,,0,5,0,5
Pablo Popovitch,Pablo Popovitch,,0,2,0,2
Vila Valério,Vila Valério,,0,3,0,3
Space Colonization,Space Colonization,,0,2,0,2
Line 9 (Cptm),Line 9 (Cptm),,0,5,0,5
Ultrapar,Ultrapar,,0,3,0,3
Pedro Ii Of Brazil,Pedro Ii Of Brazil,,0,78,473,551
Brasil Kirin,Brasil Kirin,,0,2,0,2
White Nationalism,White Nationalism,,0,2,0,2
Meteorology,Meteorology,,0,2,0,2
Latitude,Latitude,,0,7,0,7
Marajó Island,Marajó Island,,0,3,0,3
Fivb World Rankings,Fivb World Rankings,,0,2,0,2
Israel Space Agency,Israel Space Agency,,0,3,0,3
Euclides Da Cunha,Euclides Da Cunha,,0,20,0,20
Márcio Cruz,Márcio Cruz,,0,2,0,2
Telecommunications Equipment,Telecommunications Equipment,,0,2,0,2
Religion In Cameroon,Religion In Cameroon,,0,2,0,2
Battle Of Zornoza,Battle Of Zornoza,,0,2,0,2
"Avaré, São Paulo","Avaré, São Paulo",,0,2,0,2
Jewish Dance,Jewish Dance,,0,2,0,2
Lapland Gold Rush,Lapland Gold Rush,,0,2,0,2
Close-Mid Vowel,Close-Mid Vowel,,0,2,0,2
Berbice,Berbice,,0,2,0,2
Itaara,Itaara,,0,3,0,3
Cavallucci,Cavallucci,,0,2,0,2
Rear-Naked Choke,Rear-Naked Choke,,0,2,0,2
Jenipapo De Minas,Jenipapo De Minas,,0,4,0,4
Arraial Do Cabo,Arraial Do Cabo,,0,7,0,7
Castilho,Castilho,,0,3,0,3
Absolute Monarchy,Absolute Monarchy,,0,11,0,11
Ministry Of War (Brazil),Ministry Of War (Brazil),,0,4,0,4
Diários Associados,Diários Associados,,0,2,0,2
Counter-Revolutionary Warfare,Counter-Revolutionary Warfare,,0,2,0,2
Iso/Iec 646,Iso/Iec 646,,0,2,0,2
Manaus Monorail,Manaus Monorail,,0,8,0,8
Jakarta Metropolitan Area,Jakarta Metropolitan Area,,0,3,0,3
Restaurant,Restaurant,,0,5,0,5
Shuadit,Shuadit,,0,2,0,2
Climate Change In Brazil,Climate Change In Brazil,,0,9,143,152
Iso/Iec 14651,Iso/Iec 14651,,0,2,0,2
James C. Kaufman,James C. Kaufman,,0,2,0,2
Hixkaryana Language,Hixkaryana Language,,0,6,0,6
Kingdom Of Zimbabwe,Kingdom Of Zimbabwe,,0,2,0,2
"Washington, Dc","Washington, Dc",,0,2,0,2
House Of Elders (Somaliland),House Of Elders (Somaliland),,0,2,0,2
Pedra Branca Do Amapari,Pedra Branca Do Amapari,,0,3,0,3
Reiki,Reiki,,0,2,0,2
Igaratá,Igaratá,,0,2,0,2
Pakistan,Pakistan,,0,13,0,13
Armed Forces Of Paraguay,Armed Forces Of Paraguay,,0,3,0,3
"Santa Filomena, Pernambuco","Santa Filomena, Pernambuco",,0,2,0,2
Buñuelo,Buñuelo,,0,2,0,2
Itatiaia National Park,Itatiaia National Park,,0,6,0,6
Cape Verdean Portuguese,Cape Verdean Portuguese,,0,3,0,3
Mihai Eminescu,Mihai Eminescu,,0,4,0,4
Barbadians In Brazil,Barbadians In Brazil,,0,22,0,22
Tokyo Metropolitan Police Department Public Security Bureau,Tokyo Metropolitan Police Department Public Security Bureau,,0,2,0,2
Encyclopedia Britannica,Encyclopedia Britannica,,0,2,0,2
Indigenous Languages Of Brazil,Indigenous Languages Of Brazil,,0,2,0,2
Dona Emma,Dona Emma,,0,2,0,2
Peritiba,Peritiba,,0,2,0,2
Brazil–Palestine Relations,Brazil–Palestine Relations,,0,6,0,6
Roman Catholic Diocese Of Oliveira,Roman Catholic Diocese Of Oliveira,,0,2,0,2
Pharaoh,Pharaoh,,0,2,0,2
1974 Brazilian Presidential Election,1974 Brazilian Presidential Election,,0,10,0,10
Manama,Manama,,0,6,0,6
Universidade Estadual Do Maranhão,Universidade Estadual Do Maranhão,,0,4,0,4
Yamas (Israel Border Police Unit),Yamas (Israel Border Police Unit),,0,2,0,2
Medina,Medina,,0,2,0,2
Zollfahndungsamt,Zollfahndungsamt,,0,2,0,2
Margareth Menezes,Margareth Menezes,,0,3,0,3
Kebab,Kebab,,0,4,0,4
Arvorezinha,Arvorezinha,,0,3,0,3
Religion In Finland,Religion In Finland,,0,2,0,2
Wilhelm Küchelbecker,Wilhelm Küchelbecker,,0,4,0,4
Onomatopoeia,Onomatopoeia,,0,3,0,3
Wilderness,Wilderness,,0,2,0,2
Br-454,Br-454,,0,2,0,2
Br-429,Br-429,,0,2,0,2
Count Of Faro,Count Of Faro,,0,5,0,5
Santana Do Riacho,Santana Do Riacho,,0,4,0,4
Bruno Caboclo,Bruno Caboclo,,0,2,0,2
Race And Ethnicity In South America,Race And Ethnicity In South America,,0,2,0,2
Anti-Semitism,Anti-Semitism,,0,2,0,2
Genolino Amado,Genolino Amado,,0,14,0,14
Tijuca Forest,Tijuca Forest,,0,3,0,3
Otto Lara Resende,Otto Lara Resende,,0,14,0,14
Economy Of The African Union,Economy Of The African Union,,0,2,0,2
Roman Catholic Archdiocese Of Pouso Alegre,Roman Catholic Archdiocese Of Pouso Alegre,,0,2,0,2
Lojas Renner,Lojas Renner,,0,2,0,2
Roca Sales,Roca Sales,,0,3,0,3
Carpathian Germans,Carpathian Germans,,0,2,0,2
National Assembly (Bahrain),National Assembly (Bahrain),,0,2,0,2
Barro Duro,Barro Duro,,0,2,0,2
Latin American Integration,Latin American Integration,,0,2,0,2
Callsign,Callsign,,0,2,0,2
Juazeirinho,Juazeirinho,,0,2,0,2
Pedro Barros,Pedro Barros,,0,2,0,2
Volga German,Volga German,,0,11,0,11
Carmen Costa,Carmen Costa,,0,16,0,16
Santa Cruz Da Esperança,Santa Cruz Da Esperança,,0,2,0,2
"José Bonifácio, São Paulo","José Bonifácio, São Paulo",,0,2,0,2
Enrique Iglesias,Enrique Iglesias,,0,16,0,16
Adolf Hitler,Adolf Hitler,,0,3,0,3
Machados,Machados,,0,2,0,2
Sultan,Sultan,,0,3,0,3
Qi,Qi,,0,5,0,5
Park,Park,,0,3,0,3
Free Economic Zone,Free Economic Zone,,0,2,0,2
Umayyad Caliphate,Umayyad Caliphate,,0,2,0,2
Dacon,Dacon,,0,2,0,2
Alpestre,Alpestre,,0,3,0,3
Stock Market Crash,Stock Market Crash,,0,3,0,3
Legislative Assembly (British Guiana),Legislative Assembly (British Guiana),,0,2,0,2
Direcţia Generală De Informaţii A Apărării,Direcţia Generală De Informaţii A Apărării,,0,2,0,2
Integrated Circuit,Integrated Circuit,,0,2,0,2
Corps,Corps,,0,2,0,2
Kingdom Of Tunisia,Kingdom Of Tunisia,,0,2,0,2
Sertãozinho,Sertãozinho,,0,3,0,3
Gdp Per Capita,Gdp Per Capita,,0,5,0,5
Music Of Mozambique,Music Of Mozambique,,0,5,0,5
Bela Vista Do Piauí,Bela Vista Do Piauí,,0,2,0,2
Tilde,Tilde,,0,2,0,2
World Digital Library,World Digital Library,,0,3,0,3
Order Of Saint James Of The Sword (Brazil),Order Of Saint James Of The Sword (Brazil),,0,2,0,2
Caparaó,Caparaó,,0,4,0,4
