Id,Label,timeset,d0,indegree,outdegree,Degree,degree_group
Cândido Portinari,Cândido Portinari,,0,11,847,858,Group 3
Brazil National Football Team,Brazil National Football Team,,0,19,292,311,Group 5
Vargas Era,Vargas Era,,0,202,300,502,Group 4
Bahia,Bahia,,0,177,727,904,Group 3
"Rio Grande, Rio Grande Do Sul","Rio Grande, Rio Grande Do Sul",,0,14,554,568,Group 4
Transport In Brazil,Transport In Brazil,,0,173,234,407,Group 5
Abolitionism,Abolitionism,,0,12,573,585,Group 4
Paraná (State),Paraná (State),,0,152,280,432,Group 5
Brazil At The Olympics,Brazil At The Olympics,,0,10,405,415,Group 5
White Brazilian,White Brazilian,,0,82,428,510,Group 4
National Congress Of Brazil,National Congress Of Brazil,,0,209,431,640,Group 4
Colonial Brazil,Colonial Brazil,,0,211,514,725,Group 3
The Guaraní,The Guaraní,,0,5,455,460,Group 5
History Of Brazil,History Of Brazil,,0,196,503,699,Group 4
Chico Buarque,Chico Buarque,,0,19,860,879,Group 3
Ouro Preto,Ouro Preto,,0,40,913,953,Group 3
History Of The Jews In Brazil,History Of The Jews In Brazil,,0,32,681,713,Group 3
Brazilian Literature,Brazilian Literature,,0,179,280,459,Group 5
Vinicius De Moraes,Vinicius De Moraes,,0,30,846,876,Group 3
Rio Grande Do Norte,Rio Grande Do Norte,,0,109,379,488,Group 5
Workers' Party (Brazil),Workers' Party (Brazil),,0,55,257,312,Group 5
Fortaleza,Fortaleza,,0,60,264,324,Group 5
"Southeast Region, Brazil","Southeast Region, Brazil",,0,106,291,397,Group 5
Acarajé,Acarajé,,0,16,425,441,Group 5
Fernando Meirelles,Fernando Meirelles,,0,22,828,850,Group 3
Pedro I Of Brazil,Pedro I Of Brazil,,0,83,420,503,Group 4
Languages Of Brazil,Languages Of Brazil,,0,174,563,737,Group 3
Brazilian Sculpture,Brazilian Sculpture,,0,167,142,309,Group 5
Tupi–Guaraní,Tupi–Guaraní,,0,5,334,339,Group 5
Energy In Brazil,Energy In Brazil,,0,167,241,408,Group 5
Federal District (Brazil),Federal District (Brazil),,0,127,210,337,Group 5
Chamber Of Deputies (Brazil),Chamber Of Deputies (Brazil),,0,61,327,388,Group 5
Brazil,Brazil,,0,419,586,1005,Group 2
Agriculture In Brazil,Agriculture In Brazil,,0,176,301,477,Group 5
History Of Brazil Since 1985,History Of Brazil Since 1985,,0,51,348,399,Group 5
Outline Of Brazil,Outline Of Brazil,,0,168,232,400,Group 5
Brazilian Military Government,Brazilian Military Government,,0,35,406,441,Group 5
Brazilians,Brazilians,,0,182,448,630,Group 4
Law Of Brazil,Law Of Brazil,,0,186,350,536,Group 4
Manuel Bandeira,Manuel Bandeira,,0,21,313,334,Group 5
Bolsa Família,Bolsa Família,,0,176,199,375,Group 5
Education In Brazil,Education In Brazil,,0,170,369,539,Group 4
Industry In Brazil,Industry In Brazil,,0,172,353,525,Group 4
Piauí,Piauí,,0,115,410,525,Group 4
Chamber Of Deputies Of Brazil,Chamber Of Deputies Of Brazil,,0,49,326,375,Group 5
Economy Of Brazil,Economy Of Brazil,,0,190,353,543,Group 4
Brazilian Congress,Brazilian Congress,,0,12,431,443,Group 5
Japanese-Brazilian,Japanese-Brazilian,,0,45,301,346,Group 5
1964 Brazilian Coup D'État,1964 Brazilian Coup D'État,,0,57,364,421,Group 5
Brazilian Expeditionary Force,Brazilian Expeditionary Force,,0,34,351,385,Group 5
Roman Catholicism In Brazil,Roman Catholicism In Brazil,,0,14,709,723,Group 3
Ariano Suassuna,Ariano Suassuna,,0,30,1091,1121,Group 2
Brazilian Science Fiction,Brazilian Science Fiction,,0,167,180,347,Group 5
Jewish Brazilian,Jewish Brazilian,,0,6,681,687,Group 4
"Natal, Rio Grande Do Norte","Natal, Rio Grande Do Norte",,0,53,424,477,Group 5
Belo Horizonte,Belo Horizonte,,0,79,1182,1261,Group 1
Roraima,Roraima,,0,106,304,410,Group 5
Florianópolis,Florianópolis,,0,57,584,641,Group 4
Academia Brasileira De Letras,Academia Brasileira De Letras,,0,37,931,968,Group 3
Pará,Pará,,0,143,423,566,Group 4
Federal Police Department,Federal Police Department,,0,9,1510,1519,Group 1
Carnival,Carnival,,0,20,323,343,Group 5
"North Region, Brazil","North Region, Brazil",,0,92,248,340,Group 5
São Paulo (State),São Paulo (State),,0,207,622,829,Group 3
Wildlife Of Brazil,Wildlife Of Brazil,,0,168,180,348,Group 5
Ceará,Ceará,,0,129,422,551,Group 4
Public Holidays In Brazil,Public Holidays In Brazil,,0,172,146,318,Group 5
1937 Brazilian Coup D'État,1937 Brazilian Coup D'État,,0,30,272,302,Group 5
Immigration To Brazil,Immigration To Brazil,,0,181,433,614,Group 4
Amazon Rainforest,Amazon Rainforest,,0,70,257,327,Group 5
Catholic Church In Brazil,Catholic Church In Brazil,,0,26,709,735,Group 3
Rio De Janeiro,Rio De Janeiro,,0,294,833,1127,Group 2
Senate Of Brazil,Senate Of Brazil,,0,30,435,465,Group 5
Demographics Of Brazil,Demographics Of Brazil,,0,180,409,589,Group 4
Maria I Of Portugal,Maria I Of Portugal,,0,25,613,638,Group 4
João Vi Of Portugal,João Vi Of Portugal,,0,11,662,673,Group 4
Portela (Samba School),Portela (Samba School),,0,22,871,893,Group 3
Military Of Brazil,Military Of Brazil,,0,171,303,474,Group 5
Acre (State),Acre (State),,0,111,259,370,Group 5
Science And Technology In Brazil,Science And Technology In Brazil,,0,171,244,415,Group 5
"United Kingdom Of Portugal, Brazil And The Algarves","United Kingdom Of Portugal, Brazil And The Algarves",,0,194,328,522,Group 4
Brazil During World War I,Brazil During World War I,,0,28,301,329,Group 5
Pernambuco,Pernambuco,,0,166,493,659,Group 4
Sergipe,Sergipe,,0,101,229,330,Group 5
Rondônia,Rondônia,,0,102,239,341,Group 5
Climate Of Brazil,Climate Of Brazil,,0,170,168,338,Group 5
Subdivisions Of Brazil,Subdivisions Of Brazil,,0,166,197,363,Group 5
Jair Bolsonaro,Jair Bolsonaro,,0,87,438,525,Group 4
Federal Government Of Brazil,Federal Government Of Brazil,,0,185,134,319,Group 5
Brazilian Art,Brazilian Art,,0,171,247,418,Group 5
Joaquim Manuel De Macedo,Joaquim Manuel De Macedo,,0,23,652,675,Group 4
Elections In Brazil,Elections In Brazil,,0,184,379,563,Group 4
Allies Of World War Ii,Allies Of World War Ii,,0,15,384,399,Group 5
Assis Chateaubriand,Assis Chateaubriand,,0,23,331,354,Group 5
Dilma Rousseff,Dilma Rousseff,,0,52,532,584,Group 4
Federal Senate (Brazil),Federal Senate (Brazil),,0,64,435,499,Group 5
Health In Brazil,Health In Brazil,,0,172,133,305,Group 5
Tourism In Brazil,Tourism In Brazil,,0,174,432,606,Group 4
Cape Verde,Cape Verde,,0,19,378,397,Group 5
Brazilian Space Agency,Brazilian Space Agency,,0,13,295,308,Group 5
Pedro Leopoldo,Pedro Leopoldo,,0,9,847,856,Group 3
Brazilian Highway System,Brazilian Highway System,,0,18,343,361,Group 5
Salvador Da Bahia,Salvador Da Bahia,,0,6,981,987,Group 3
History Of Brazil (1985–Present),History Of Brazil (1985–Present),,0,176,348,524,Group 4
Brazilian Army,Brazilian Army,,0,53,270,323,Group 5
States Of Brazil,States Of Brazil,,0,128,343,471,Group 5
Timeline Of Brazilian History,Timeline Of Brazilian History,,0,175,636,811,Group 3
São Paulo,São Paulo,,0,225,1424,1649,Group 1
Brazilian Portuguese,Brazilian Portuguese,,0,53,801,854,Group 3
Brazilian Republic,Brazilian Republic,,0,8,586,594,Group 4
Administrative Divisions Of Brazil,Administrative Divisions Of Brazil,,0,178,196,374,Group 5
Guaraní Language,Guaraní Language,,0,11,455,466,Group 5
Constitution Of Brazil,Constitution Of Brazil,,0,193,177,370,Group 5
Fernanda Montenegro,Fernanda Montenegro,,0,34,1161,1195,Group 2
Santa Catarina (State),Santa Catarina (State),,0,146,619,765,Group 3
Brazilian German,Brazilian German,,0,15,545,560,Group 4
Religion In Brazil,Religion In Brazil,,0,178,526,704,Group 3
Brazilian Jiu-Jitsu,Brazilian Jiu-Jitsu,,0,12,458,470,Group 5
Espírito Santo,Espírito Santo,,0,130,298,428,Group 5
Polish Brazilian,Polish Brazilian,,0,35,278,313,Group 5
Second Brazilian Republic,Second Brazilian Republic,,0,13,300,313,Group 5
